Date : 2021-12-06 15:58:00
Directory : c:\Users\cr0ss4ire\Desktop\ps\ps_api
Total : 2670 files,  538619 codes, 204489 comments, 110798 blanks, all 853906 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\contrib\_securetransport\low_level.py                      | Python           |        187 |        109 |         51 |        347 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\contrib\appengine.py                                       | Python           |        175 |         68 |         47 |        290 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\contrib\ntlmpool.py                                        | Python           |         74 |         20 |         18 |        112 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\contrib\pyopenssl.py                                       | Python           |        297 |         96 |         77 |        470 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\contrib\securetransport.py                                 | Python           |        484 |        209 |        112 |        805 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\contrib\socks.py                                           | Python           |        125 |         39 |         29 |        193 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\exceptions.py                                              | Python           |        128 |         37 |         82 |        247 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\fields.py                                                  | Python           |         78 |         81 |         20 |        179 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\filepost.py                                                | Python           |         46 |         31 |         22 |         99 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\packages\__init__.py                                       | Python           |          3 |          0 |          3 |          6 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\packages\backports\__init__.py                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\packages\backports\makefile.py                             | Python           |         39 |         11 |          4 |         54 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\packages\six.py                                            | Python           |        615 |         88 |        166 |        869 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\packages\ssl_match_hostname\__init__.py                    | Python           |         11 |          5 |          4 |         20 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\packages\ssl_match_hostname\_implementation.py             | Python           |         84 |         53 |         20 |        157 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\poolmanager.py                                             | Python           |        213 |        169 |         72 |        454 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\request.py                                                 | Python           |         52 |         76 |         23 |        151 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\response.py                                                | Python           |        399 |        206 |        103 |        708 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\util\__init__.py                                           | Python           |         51 |          1 |          3 |         55 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\util\connection.py                                         | Python           |         67 |         42 |         26 |        135 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\util\queue.py                                              | Python           |         14 |          1 |          7 |         22 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\util\request.py                                            | Python           |         53 |         50 |         16 |        119 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\util\response.py                                           | Python           |         36 |         35 |         17 |         88 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\util\retry.py                                              | Python           |        185 |        169 |         59 |        413 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\util\ssl_.py                                               | Python           |        202 |        122 |         59 |        383 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\util\timeout.py                                            | Python           |         76 |        144 |         23 |        243 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\util\url.py                                                | Python           |        114 |         81 |         44 |        239 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\urllib3\util\wait.py                                               | Python           |         83 |         44 |         24 |        151 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\websocket\__init__.py                                              | Python           |          7 |         21 |          2 |         30 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\websocket\_abnf.py                                                 | Python           |        298 |         77 |         73 |        448 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\websocket\_app.py                                                  | Python           |        208 |        106 |         38 |        352 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\websocket\_cookiejar.py                                            | Python           |         43 |          0 |         10 |         53 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\websocket\_core.py                                                 | Python           |        218 |        246 |         52 |        516 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\websocket\_exceptions.py                                           | Python           |         20 |         49 |         19 |         88 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\websocket\_handshake.py                                            | Python           |        137 |         24 |         45 |        206 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\websocket\_http.py                                                 | Python           |        246 |         28 |         53 |        327 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\websocket\_logging.py                                              | Python           |         36 |         26 |         21 |         83 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\websocket\_socket.py                                               | Python           |        110 |         29 |         28 |        167 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\websocket\_ssl_compat.py                                           | Python           |         25 |         22 |          6 |         53 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\websocket\_url.py                                                  | Python           |         83 |         50 |         31 |        164 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\websocket\_utils.py                                                | Python           |         54 |         34 |         23 |        111 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\websocket\tests\__init__.py                                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\websocket\tests\test_cookiejar.py                                  | Python           |         78 |          0 |         21 |         99 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\websocket\tests\test_websocket.py                                  | Python           |        488 |         58 |        120 |        666 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\__init__.py                                               | Python           |        182 |         22 |         18 |        222 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\_compat.py                                                | Python           |        159 |         11 |         50 |        220 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\_internal.py                                              | Python           |        310 |         98 |         77 |        485 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\_reloader.py                                              | Python           |        238 |         43 |         61 |        342 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\contrib\__init__.py                                       | Python           |          0 |         16 |          1 |         17 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\contrib\atom.py                                           | Python           |        204 |        125 |         34 |        363 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\contrib\cache.py                                          | Python           |        506 |        312 |        116 |        934 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\contrib\fixers.py                                         | Python           |        129 |        104 |         30 |        263 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\contrib\iterio.py                                         | Python           |        241 |         70 |         48 |        359 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\contrib\lint.py                                           | Python           |          9 |          0 |          3 |         12 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\contrib\profiler.py                                       | Python           |         23 |         11 |          9 |         43 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\contrib\securecookie.py                                   | Python           |        160 |        182 |         21 |        363 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\contrib\sessions.py                                       | Python           |        221 |        123 |         46 |        390 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\contrib\wrappers.py                                       | Python           |        200 |        144 |         42 |        386 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\datastructures.py                                         | Python           |      1,557 |        877 |        419 |      2,853 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\debug\__init__.py                                         | Python           |        356 |        106 |         63 |        525 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\debug\console.py                                          | Python           |        152 |         17 |         48 |        217 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\debug\repr.py                                             | Python           |        224 |         36 |         38 |        298 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\debug\shared\style.css                                    | CSS              |        135 |          1 |         19 |        155 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\debug\tbtools.py                                          | Python           |        399 |        153 |         78 |        630 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\exceptions.py                                             | Python           |        300 |        336 |        144 |        780 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\filesystem.py                                             | Python           |         28 |         27 |         10 |         65 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\formparser.py                                             | Python           |        349 |        166 |         70 |        585 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\http.py                                                   | Python           |        657 |        483 |        120 |      1,260 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\local.py                                                  | Python           |        221 |        148 |         53 |        422 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\middleware\__init__.py                                    | Python           |          0 |         25 |          1 |         26 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\middleware\dispatcher.py                                  | Python           |         19 |         40 |          8 |         67 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\middleware\http_proxy.py                                  | Python           |        124 |         61 |         35 |        220 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\middleware\lint.py                                        | Python           |        298 |         39 |         72 |        409 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\middleware\profiler.py                                    | Python           |         62 |         57 |         14 |        133 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\middleware\proxy_fix.py                                   | Python           |        102 |        116 |         15 |        233 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\middleware\shared_data.py                                 | Python           |        141 |         68 |         45 |        254 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\posixemulation.py                                         | Python           |         83 |         21 |         14 |        118 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\routing.py                                                | Python           |        984 |        859 |        197 |      2,040 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\security.py                                               | Python           |        118 |         95 |         37 |        250 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\serving.py                                                | Python           |        669 |        250 |        157 |      1,076 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\test.py                                                   | Python           |        717 |        286 |        144 |      1,147 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\testapp.py                                                | Python           |         86 |        135 |         21 |        242 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\urls.py                                                   | Python           |        562 |        427 |        150 |      1,139 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\useragents.py                                             | Python           |        104 |         88 |         19 |        211 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\utils.py                                                  | Python           |        409 |        272 |         94 |        775 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\wrappers\__init__.py                                      | Python           |         16 |         20 |          1 |         37 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\wrappers\accept.py                                        | Python           |         22 |         22 |          7 |         51 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\wrappers\auth.py                                          | Python           |         18 |          7 |          9 |         34 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\wrappers\base_request.py                                  | Python           |        292 |        341 |         63 |        696 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\wrappers\base_response.py                                 | Python           |        311 |        331 |         61 |        703 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\wrappers\common_descriptors.py                            | Python           |        202 |         94 |         27 |        323 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\wrappers\etag.py                                          | Python           |        157 |        119 |         29 |        305 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\wrappers\json.py                                          | Python           |         76 |         43 |         27 |        146 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\wrappers\request.py                                       | Python           |         18 |         19 |          8 |         45 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\wrappers\response.py                                      | Python           |         46 |         16 |         17 |         79 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\wrappers\user_agent.py                                    | Python           |          6 |          5 |          4 |         15 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\werkzeug\wsgi.py                                                   | Python           |        483 |        425 |        106 |      1,014 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\BackupRead_BackupWrite.py                              | Python           |         95 |          6 |         16 |        117 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\BackupSeek_streamheaders.py                            | Python           |        109 |          9 |         16 |        134 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\CopyFileEx.py                                          | Python           |         48 |          3 |          7 |         58 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\CreateFileTransacted_MiniVersion.py                    | Python           |         88 |         16 |         15 |        119 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\EvtFormatMessage.py                                    | Python           |         63 |          7 |         14 |         84 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\EvtSubscribe_pull.py                                   | Python           |         20 |          3 |          4 |         27 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\EvtSubscribe_push.py                                   | Python           |         19 |          1 |          6 |         26 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\FileSecurityTest.py                                    | Python           |        110 |         11 |         12 |        133 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\GetSaveFileName.py                                     | Python           |         35 |          0 |          6 |         41 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\NetValidatePasswordPolicy.py                           | Python           |         83 |         25 |         19 |        127 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\OpenEncryptedFileRaw.py                                | Python           |         47 |          8 |         10 |         65 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\RegCreateKeyTransacted.py                              | Python           |         43 |          7 |          9 |         59 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\RegRestoreKey.py                                       | Python           |         58 |          2 |          8 |         68 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\SystemParametersInfo.py                                | Python           |        172 |         12 |         21 |        205 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\c_extension\setup.py                                   | Python           |         16 |          7 |          4 |         27 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\cerapi.py                                              | Python           |        203 |         16 |         35 |        254 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\dde\ddeclient.py                                       | Python           |         12 |          1 |          6 |         19 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\dde\ddeserver.py                                       | Python           |         28 |          1 |         14 |         43 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\desktopmanager.py                                      | Python           |        198 |         17 |         25 |        240 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\eventLogDemo.py                                        | Python           |        120 |          4 |         19 |        143 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\getfilever.py                                          | Python           |         25 |          4 |          3 |         32 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\mmapfile_demo.py                                       | Python           |         76 |         10 |         14 |        100 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\pipes\cat.py                                           | Python           |          9 |          5 |          4 |         18 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\pipes\runproc.py                                       | Python           |         67 |         31 |         16 |        114 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\print_desktop.py                                       | Python           |         99 |          2 |          9 |        110 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\rastest.py                                             | Python           |        120 |         23 |         25 |        168 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\GetTokenInformation.py                        | Python           |         92 |          4 |         12 |        108 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\account_rights.py                             | Python           |         39 |          0 |          9 |         48 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\explicit_entries.py                           | Python           |        145 |          2 |         20 |        167 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\get_policy_info.py                            | Python           |         29 |          2 |          9 |         40 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\list_rights.py                                | Python           |         28 |          0 |          6 |         34 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\localized_names.py                            | Python           |         34 |         12 |         19 |         65 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\lsaregevent.py                                | Python           |         11 |          1 |          2 |         14 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\lsastore.py                                   | Python           |          9 |          1 |          3 |         13 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\query_information.py                          | Python           |         15 |          3 |          5 |         23 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\regsave_sa.py                                 | Python           |         47 |          1 |          8 |         56 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\regsecurity.py                                | Python           |         29 |          0 |          5 |         34 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\sa_inherit.py                                 | Python           |          6 |          0 |          2 |          8 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\security_enums.py                             | Python           |        290 |         15 |         30 |        335 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\set_file_audit.py                             | Python           |         87 |          6 |          9 |        102 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\set_file_owner.py                             | Python           |         61 |          0 |         10 |         71 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\set_policy_info.py                            | Python           |         20 |          0 |          6 |         26 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\setkernelobjectsecurity.py                    | Python           |        110 |          5 |         10 |        125 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\setnamedsecurityinfo.py                       | Python           |        115 |          4 |         10 |        129 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\setsecurityinfo.py                            | Python           |        115 |          5 |         10 |        130 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\setuserobjectsecurity.py                      | Python           |         94 |          0 |          7 |        101 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\sspi\fetch_url.py                             | Python           |        128 |         13 |         21 |        162 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\sspi\simple_auth.py                           | Python           |         37 |         22 |         12 |         71 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\sspi\socket_server.py                         | Python           |        137 |         38 |         29 |        204 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\security\sspi\validate_password.py                     | Python           |         27 |          6 |          8 |         41 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\service\nativePipeTestService.py                       | Python           |         31 |         17 |         14 |         62 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\service\pipeTestService.py                             | Python           |        129 |         30 |         24 |        183 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\service\pipeTestServiceClient.py                       | Python           |        109 |         23 |         21 |        153 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\service\serviceEvents.py                               | Python           |         60 |         21 |         16 |         97 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\timer_demo.py                                          | Python           |         35 |         23 |         14 |         72 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\win32clipboardDemo.py                                  | Python           |        104 |         17 |         26 |        147 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\win32clipboard_bitmapdemo.py                           | Python           |        104 |          3 |         12 |        119 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\win32comport_demo.py                                   | Python           |        101 |         29 |         15 |        145 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\win32console_demo.py                                   | Python           |        115 |          5 |         14 |        134 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\win32cred_demo.py                                      | Python           |         57 |         13 |          9 |         79 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\win32fileDemo.py                                       | Python           |         24 |          9 |          5 |         38 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\win32gui_demo.py                                       | Python           |        150 |          2 |         21 |        173 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\win32gui_devicenotify.py                               | Python           |         72 |         19 |         10 |        101 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\win32gui_dialog.py                                     | Python           |        346 |         50 |         59 |        455 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\win32gui_menu.py                                       | Python           |        298 |         79 |         41 |        418 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\win32gui_taskbar.py                                    | Python           |        109 |         13 |         16 |        138 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\win32netdemo.py                                        | Python           |        235 |          7 |         32 |        274 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\win32rcparser_demo.py                                  | Python           |         60 |          9 |         17 |         86 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\win32servicedemo.py                                    | Python           |         13 |          2 |          9 |         24 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\win32ts_logoff_disconnected.py                         | Python           |         18 |          5 |          2 |         25 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\win32wnet\testwnet.py                                  | Python           |        103 |          6 |         17 |        126 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\win32wnet\winnetwk.py                                  | Python           |         99 |          1 |          1 |        101 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\Demos\winprocess.py                                          | Python           |        128 |         79 |         19 |        226 |
| c:\Users\cr0ss4ire\Desktop\ps\ps_api\venv\Lib\site-packages\win32\include\PyWinTypes.h                                         | C++              |        363 |        209 |        112 |        684 |
